sequence,target
2 3 4 5 6 1 1 1 1 1 1 1 1 1 1,1
7 8 9 10 11 1 1 1 1 1 1 1 1 1 1,8
8 12 13 1 1 1 1 1 1 1 1 1 1 1 1,8
14 15 16 17 18 19 20 1 1 1 1 1 1 1 1,3
14 21 22 23 24 25 10 26 1 1 1 1 1 1 1,6
7 8 27 28 29 30 31 32 33 10 34 35 1 1 1,6
36 23 9 37 38 39 1 1 1 1 1 1 1 1 1,8
40 23 41 42 10 43 1 1 1 1 1 1 1 1 1,5
7 8 27 28 29 44 45 10 46 1 1 1 1 1 1,6
23 47 35 1 1 1 1 1 1 1 1 1 1 1 1,6
14 15 23 48 49 29 10 50 1 1 1 1 1 1 1,6
51 52 4 53 1 1 1 1 1 1 1 1 1 1 1,6
54 48 7 23 9 1 1 1 1 1 1 1 1 1 1,1
14 15 23 55 56 29 10 57 1 1 1 1 1 1 1,2
14 15 23 58 29 10 59 35 1 1 1 1 1 1 1,9
60 61 62 63 64 65 66 67 68 1 1 1 1 1 1,0
7 8 69 70 71 72 73 1 1 1 1 1 1 1 1,0
74 4 75 17 76 1 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 27 28 80 81 4 82 1 1 1,5
7 8 27 28 29 83 84 10 34 35 1 1 1 1 1,6
36 23 85 7 4 86 10 87 1 1 1 1 1 1 1,4
14 15 88 89 4 90 91 1 1 1 1 1 1 1 1,6
34 92 93 94 95 1 1 1 1 1 1 1 1 1 1,6
96 45 10 97 98 99 100 1 1 1 1 1 1 1 1,0
101 102 103 1 1 1 1 1 1 1 1 1 1 1 1,0
14 15 104 29 4 105 1 1 1 1 1 1 1 1 1,6
106 107 10 97 35 1 1 1 1 1 1 1 1 1 1,6
36 23 29 4 83 108 10 76 1 1 1 1 1 1 1,6
109 95 10 110 1 1 1 1 1 1 1 1 1 1 1,5
36 23 111 112 113 114 115 1 1 1 1 1 1 1 1,3
36 23 9 116 117 118 119 1 1 1 1 1 1 1 1,5
36 23 120 98 85 121 1 1 1 1 1 1 1 1 1,4
122 15 123 124 68 1 1 1 1 1 1 1 1 1 1,2
125 85 126 1 1 1 1 1 1 1 1 1 1 1 1,6
14 15 29 4 55 56 10 34 1 1 1 1 1 1 1,6
14 15 127 128 121 129 130 1 1 1 1 1 1 1 1,4
131 132 133 1 1 1 1 1 1 1 1 1 1 1 1,1
14 15 58 29 10 59 35 4 134 1 1 1 1 1 1,9
135 63 136 15 137 138 139 1 1 1 1 1 1 1 1,6
14 15 140 4 141 6 1 1 1 1 1 1 1 1 1,7
109 95 10 142 1 1 1 1 1 1 1 1 1 1 1,5
7 8 29 4 143 144 10 145 146 28 145 147 10 34 1,6
14 15 23 23 109 95 1 1 1 1 1 1 1 1 1,5
14 15 148 29 10 149 1 1 1 1 1 1 1 1 1,6
36 23 150 151 152 95 1 1 1 1 1 1 1 1 1,6
148 153 10 154 1 1 1 1 1 1 1 1 1 1 1,6
36 23 155 112 156 114 115 1 1 1 1 1 1 1 1,0
14 15 23 33 29 10 157 1 1 1 1 1 1 1 1,6
7 8 27 28 29 151 158 83 108 10 34 6 1 1 1,6
77 78 28 79 7 23 27 28 159 81 4 160 22 1 1,1
140 4 161 1 1 1 1 1 1 1 1 1 1 1 1,7
7 8 29 151 162 10 5 1 1 1 1 1 1 1 1,6
